ident_m,bemonsteringsapparaat_code,surf,begindiepte_m,monsterophaaldatum,monsterophaaltijd,geometriepunt_x,geometriepunt_y,sttcd,locatie,Code_sediment_file,D10,D50,D90,perc0_2,perc2_63,perc63_125,perc125_250,perc250_500,perc500_1000,perc1000_2000
IMA2017_L13176M59401,Steekbuis,0.017,0.5,13-6-2017,13:18:00,4.13157,52.00767,17-ZH-111,111,17-ZH-111,197.73,335.65,660.33,0,0,0.83,35.26,44.98,17.53,1.4
IMA2017_L13177M59402,Steekbuis,0.017,2,13-6-2017,14:27:00,4.12907,52.0063,17-ZH-112,112,,,,,,,,,,,
IMA2017_L13178M59403,Box-corer,0.078,3,14-6-2017,08:21:00,4.12516667,52.0088,17-ZH-114,114,17-ZH-114,149.48,236.99,540.18,0.63,0.82,7.64,57.85,23.11,6.68,3.27
IMA2017_L13179M59404,Box-corer,0.078,6,14-6-2017,08:51:00,4.12193333,52.00983333,17-ZH-115,115,17-ZH-115,117.21,185.41,295.63,0.8,1.84,22.33,63.29,8.65,2.27,0.82
IMA2017_L13180M59405,Box-corer,0.078,9,14-6-2017,09:16:00,4.12131667,52.01205,17-ZH-116,116,17-ZH-116,34.35,133.41,551.48,1.73,18.73,36.28,28.39,4.76,4.76,5.35
IMA2017_L13181M59406,Box-corer,0.078,9,14-6-2017,09:43:00,4.11565,52.01481667,17-ZH-117,117,17-ZH-117,57.09,147.78,262.2,1.17,10.68,37.57,43.16,6.3,1.12,0
IMA2017_L13182M59407,Steekbuis,0.017,0.5,15-6-2017,09:01:00,4.17197,52.03962,17-ZH-121,121,17-ZH-121,320.93,489.63,760.9,0,0,0.01,4.44,57.36,37.26,0.93
IMA2017_L13183M59408,Steekbuis,0.017,2,14-6-2017,17:49:00,4.17348,52.04155,17-ZH-122,122,,,,,,,,,,,
IMA2017_L13184M59409,Box-corer,0.078,3,14-6-2017,06:38:00,4.17295,52.04775,17-ZH-124,124,17-ZH-124,185.17,294.58,463.87,0.53,0.4,2.24,42.1,50.65,3.74,0.34
IMA2017_L13185M59410,Box-corer,0.078,7,14-6-2017,06:59:00,4.17156667,52.04791667,17-ZH-125,125,17-ZH-125,143.95,235.11,410.17,0.69,1.67,8.42,56.96,28.01,2.89,1.36
IMA2017_L13186M59411,Box-corer,0.078,8,14-6-2017,07:18:00,4.16968333,52.04733333,17-ZH-126,126,17-ZH-126,152.84,250.68,449.4,0.6,0.89,6.87,53.85,31.39,5.13,1.26
IMA2017_L13187M59412,Box-corer,0.078,9,14-6-2017,07:40:00,4.16941667,52.04855,17-ZH-127,127,17-ZH-127,9.77,163.23,816.59,2.4,30.62,12.59,31.99,8.34,6.82,7.24
IMA2017_L13188M59413,Steekbuis,0.017,0.5,15-6-2017,07:01:00,4.1757,52.05278,17-ZH-131,131,17-ZH-131,237.95,355.88,537.45,0,0,0.7,22.49,67.34,8.93,0.54
IMA2017_L13189M59414,Steekbuis,0.017,2,14-6-2017,18:15:00,4.18257,52.05392,17-ZH-132,132,,,,,,,,,,,
IMA2017_L13190M59415,Box-corer,0.078,7,15-6-2017,06:57:00,4.17765,52.05683333,17-ZH-134,134,17-ZH-134,255.08,386.45,580.98,0.44,0.42,1.03,14.46,69.47,13.89,0.29
IMA2017_L13191M59416,Box-corer,0.078,8,15-6-2017,07:37:00,4.17628333,52.05733333,17-ZH-135,135,17-ZH-135,268.51,387.6,560.98,0,0,0,13.36,74.59,12.05,0
IMA2017_L13192M59417,Box-corer,0.078,9,15-6-2017,08:27:00,4.1757,52.05768333,17-ZH-136,136,17-ZH-136,260.73,394.05,601.49,0.43,0.41,0.85,13.16,68.77,15.79,0.59
IMA2017_L13193M59418,Box-corer,0.078,8,15-6-2017,09:06:00,4.17466667,52.05853333,17-ZH-137,137,17-ZH-137,232.52,397.06,798.81,0.41,0.51,0.92,19.04,53.75,20.28,5.09
IMA2017_L13194M59419,Steekbuis,0.017,0.5,13-6-2017,12:30:00,4.21912,52.0699,17-ZH-141,141,17-ZH-141,262.21,384.77,563.12,0,0,0,15.12,72.59,12.29,0
IMA2017_L13195M59420,Box-corer,0.078,5,13-6-2017,08:10:00,4.21731667,52.07593333,17-ZH-144,144,17-ZH-144,137.37,210.82,338.59,0.67,0.86,12.12,66.34,17.04,2.18,0.79
IMA2017_L13196M59421,Box-corer,0.078,8,13-6-2017,08:29:00,4.21496667,52.07571667,17-ZH-145,145,17-ZH-145,179.73,323.69,539.75,0.49,0.53,3.69,32.88,52.63,9.39,0.39
IMA2017_L13197M59422,Box-corer,0.078,9,13-6-2017,08:47:00,4.21278333,52.07705,17-ZH-146,146,17-ZH-146,158.32,306.81,603.99,0.54,1.62,5.84,35.13,43.5,10.02,3.35
IMA2017_L13198M59423,Box-corer,0.078,10,13-6-2017,09:04:00,4.20736667,52.07728333,17-ZH-147,147,17-ZH-147,283.25,571.63,1279.44,0.32,1.47,2.29,5.84,35.57,41.88,12.63
IMA2017_L13199M59424,Box-corer,0.078,5,15-6-2017,11:46:00,4.23421667,52.08775,17-ZH-154,154,17-ZH-154,134.34,204,347.66,0.72,1.66,13.09,66.63,11.18,3.61,3.12
IMA2017_L13200M59425,Box-corer,0.078,8,15-6-2017,12:29:00,4.23233333,52.0888,17-ZH-155,155,17-ZH-155,320.17,620.82,1017.92,0.3,0.78,1.28,6.35,26.88,57.99,6.42
IMA2018_L13396M59621,Steekbuis,0.017,0.5,27-6-2018,12:00:00,6.25898,53.50577,18-SC-511,511,EGS-II_511_02,155.54,219.8,323.11,0.01,0,12.53,75.29,11.71,0.48,0
IMA2018_L13397M59622,Steekbuis,0.017,2,27-6-2018,12:00:00,6.2577,53.50587,18-SC-512,512,EGS-II_512_02,150.01,212.96,333.83,0.01,0,15.8,71.21,9.54,1.98,1.48
IMA2018_L13398M59623,Steekbuis,0.017,3,27-6-2018,12:00:00,6.2586,53.50627,18-SC-513,513,,,,,,,,,,,
IMA2018_L13399M59624,Box-corer,0.078,4,18-6-2018,17:35:00,6.26346667,53.51483333,18-SC-514,514,EGS-II_514_02,96.89,156.8,212.45,1.43,6.98,45.86,45.73,0,0,0
IMA2018_L13400M59626,Box-corer,0.078,6,18-6-2018,17:05:00,6.26426667,53.52985,18-SC-515,515,EGS-II_515_02,115.06,174.23,280.87,1.02,3.53,35.54,52.19,6.1,1.19,0.43
IMA2018_L13401M59627,Box-corer,0.078,7,18-6-2018,16:43:00,6.26473333,53.54348333,18-SC-516,516,EGS-II_516_02,128.49,197.39,377.78,0.82,1.49,25.19,57.42,11.18,2.02,1.88
IMA2018_L13402M59628,Box-corer,0.078,9,18-6-2018,16:20:00,6.26516667,53.54966667,18-SC-517,517,EGS-II_517_02,111.84,183.25,335.18,1,5.42,28.81,53.44,7.07,1.71,2.54
IMA2018_L13403M59629,Steekbuis,0.017,0.5,27-6-2018,12:00:00,6.2674,53.50537,18-SC-521,521,EGS-II_521_02,150.43,206.45,281.66,0.01,0,16.03,79.97,4,0,0
IMA2018_L13404M59630,Steekbuis,0.017,2,27-6-2018,12:00:00,6.26968617,53.50941311,18-SC-522,522,EGS-II_522_02,155.6,226.42,400.71,0.01,0,12.38,67.84,14.75,2.85,2.17
IMA2018_L13405M59631,Box-corer,0.078,5,19-6-2018,13:40:00,6.26973333,53.51516667,18-SC-524,524,EGS-II_524_02,111.56,158.85,214,1.09,3.48,47.77,47.66,0,0,0
IMA2018_L13406M59632,Box-corer,0.078,8,19-6-2018,13:55:00,6.27028333,53.53053333,18-SC-525,525,EGS-II_525_02,122.75,184.95,338.4,0.85,1.75,31.36,53.93,9.04,1.23,1.84
IMA2018_L13407M59633,Box-corer,0.078,10,19-6-2018,14:16:00,6.27063333,53.54495,18-SC-526,526,EGS-II_526_02,129.46,195.43,322.7,0.84,1.58,24.93,61.51,8.58,1.36,1.2
IMA2018_L13408M59634,Box-corer,0.078,11,19-6-2018,14:25:00,6.27055,53.55146667,18-SC-527,527,EGS-II_527_02,130.97,209.24,667.59,0.79,1.93,21.57,51.02,13.13,7.01,4.54
IMA2018_L13409M59635,Steekbuis,0.017,0.8,27-6-2018,12:00:00,6.27245,53.50492,18-SC-531,531,EGS-II_531_02,155.43,219.2,314.83,0.01,0,12.58,76.56,10.64,0.23,0
IMA2018_L13410M59636,Steekbuis,0.017,2,27-6-2018,12:00:00,6.27258,53.50612,18-SC-532,532,EGS-II_532_02,150.59,209.17,292.27,0.01,0,15.69,78.35,5.95,0,0
IMA2018_L13411M59637,Steekbuis,0.017,3,27-6-2018,12:00:00,6.27253,53.50638,18-SC-533,533,EGS-II_533_02,143.41,196.52,268.92,0.01,0,21.37,76.65,1.99,0,0
IMA2018_L13412M59638,Box-corer,0.078,5,19-6-2018,15:30:00,6.27623333,53.5161,18-SC-534,534,EGS-II_534_02,117.04,164.95,225.82,0.89,1.87,43.78,53.45,0.02,0,0
IMA2018_L13413M59639,Box-corer,0.078,8,19-6-2018,15:15:00,6.2761,53.53026667,18-SC-535,535,EGS-II_535_02,120.47,177.97,285.13,0.91,2.16,34.25,54.9,7.17,0.62,0
IMA2018_L13414M59640,Box-corer,0.078,10,19-6-2018,14:55:00,6.27638333,53.54683333,18-SC-536,536,EGS-II_536_02,114.02,171.56,241.15,1.05,3.62,36.7,58.26,0.37,0,0
IMA2018_L13415M59641,Box-corer,0.078,11,19-6-2018,14:35:00,6.27655,53.55326667,18-SC-537,537,EGS-II_537_02,133.2,215.27,539.25,0.76,1.94,19.56,54.11,15.12,5.18,3.32
IMA2018_L13416M59642,Steekbuis,0.017,0.5,27-6-2018,12:00:00,6.27653,53.50548,18-SC-541,541,EGS-II_541_02,165,236.95,356.08,0.01,0,8.28,72.53,17.6,1.58,0
IMA2018_L13418M59644,Steekbuis,0.017,3,27-6-2018,12:00:00,6.275,53.50647,18-SC-543,543,EGS-II_543_02,140.36,196.01,271.39,0.01,0.2,22.62,74.75,2.43,0,0
IMA2018_L13419M59645,Box-corer,0.078,5,20-6-2018,11:55:00,6.28228333,53.53145,18-SC-545,545,EGS-II_545_02,121.36,182.53,301.93,0.88,1.61,32.73,55.67,7.33,0.71,1.07
IMA2018_L13420M59646,Box-corer,0.078,8,20-6-2018,11:25:00,6.28261667,53.5489,18-SC-546,546,EGS-II_546_02,127.48,207.28,484.71,0.82,2.61,21.91,53.96,13.3,1.93,5.47
IMA2018_L13421M59647,Box-corer,0.078,8,20-6-2018,11:00:00,6.28285,53.5551,18-SC-547,547,EGS-II_547_02,137.9,219.94,367.84,0.78,1.39,17.14,62.5,15.78,1.38,1.02
IMA2018_L13422M59648,Box-corer,0.078,7,20-6-2018,13:05:00,6.28838333,53.53191667,18-SC-555,555,EGS-II_555_02,127.63,183.76,296.56,0.01,0,33.21,58.21,7.76,0.82,0
IMA2018_L13423M59649,Box-corer,0.078,9,20-6-2018,13:30:00,6.28876667,53.55111667,18-SC-556,556,EGS-II_556_02,141.83,236.56,501.77,0.7,1.13,15.54,52.67,23.36,4.07,2.54
IMA2018_L13424M59650,Box-corer,0.078,10,20-6-2018,13:55:00,6.2887,53.55741667,18-SC-557,557,EGS-II_557_02,141.98,231.29,452.04,0.77,1.59,14.73,57.54,19.52,3.15,2.71
